Target,Secondary,Audio
Plastic,Glass,Plastic-Glass2
Wood,Glass,Plastic-Glass2
Plastic,Glass,Metal-Glass1
Metal,Glass,Glass-Glass2
Glass,Glass,Wood-Glass1
Glass,Glass,Glass-Glass2
Plastic,Glass,Metal-Glass2
Wood,Glass,Wood-Glass2
Plastic,Glass,Metal-Glass1
Wood,Glass,Wood-Glass1
Glass,Glass,Glass-Glass1
Wood,Glass,Plastic-Glass1
Metal,Glass,Metal-Glass2
Metal,Glass,Glass-Glass1
Plastic,Glass,Plastic-Glass1
Metal,Glass,Glass-Glass1
Glass,Glass,Wood-Glass2
Glass,Glass,Wood-Glass2
Wood,Glass,Wood-Glass1
Plastic,Glass,Plastic-Glass2
Plastic,Glass,Plastic-Glass1
Wood,Glass,Wood-Glass2
Metal,Glass,Metal-Glass2
Glass,Glass,Glass-Glass1
Metal,Glass,Glass-Glass2
Glass,Glass,Wood-Glass1
Metal,Glass,Metal-Glass1
Plastic,Glass,Metal-Glass2
Glass,Glass,Glass-Glass2
Metal,Glass,Metal-Glass1
Wood,Glass,Plastic-Glass1
Wood,Glass,Plastic-Glass2
