Target,Secondary,Audio
Plastic,Metal,Metal-Metal2
Metal,Metal,Plastic-Metal4
Metal,Metal,Wood-Metal4
Wood,Metal,Glass-Metal1
Metal,Metal,Metal-Metal4
Metal,Metal,Metal-Metal4
Wood,Metal,Metal-Metal1
Wood,Metal,Glass-Metal1
Plastic,Metal,Plastic-Metal2
Wood,Metal,Metal-Metal1
Plastic,Metal,Wood-Metal
Glass,Metal,Wood-Metal3
Glass,Metal,Metal-Metal3
Wood,Metal,Plastic-Metal1
Glass,Metal,Metal-Metal3
Wood,Metal,Plastic-Metal1
Metal,Metal,Plastic-Metal4
Glass,Metal,Metal-Metal3
Glass,Metal,Glass-Metal3
Plastic,Metal,Wood-Metal
Wood,Metal,Wood-Metal1
Metal,Metal,Metal-Metal4
Wood,Metal,Glass-Metal1
Glass,Metal,Wood-Metal3
Wood,Metal,Wood-Metal1
Wood,Metal,Metal-Metal1
Plastic,Metal,Metal-Metal2
Glass,Metal,Metal-Metal3
Plastic,Metal,Wood-Metal
Wood,Metal,Wood-Metal1
Metal,Metal,Wood-Metal4
Metal,Metal,Plastic-Metal4
Glass,Metal,Plastic-Metal3
Plastic,Metal,Metal-Metal2
Metal,Metal,Metal-Metal4
Metal,Metal,Glass-Metal4
Wood,Metal,Metal-Metal1
Glass,Metal,Plastic-Metal3
Metal,Metal,Wood-Metal4
Plastic,Metal,Glass-Metal2
Wood,Metal,Plastic-Metal1
Wood,Metal,Metal-Metal1
Plastic,Metal,Plastic-Metal2
Metal,Metal,Glass-Metal4
Plastic,Metal,Wood-Metal
Glass,Metal,Glass-Metal3
Plastic,Metal,Metal-Metal2
Glass,Metal,Glass-Metal3
Plastic,Metal,Plastic-Metal2
Glass,Metal,Wood-Metal3
Metal,Metal,Glass-Metal4
Glass,Metal,Plastic-Metal3
Plastic,Metal,Glass-Metal2
Glass,Metal,Plastic-Metal3
Plastic,Metal,Glass-Metal2
Plastic,Metal,Plastic-Metal2
Metal,Metal,Glass-Metal4
Plastic,Metal,Plastic-Metal2
Metal,Metal,Wood-Metal4
Plastic,Metal,Wood-Metal
Plastic,Metal,Glass-Metal2
Glass,Metal,Glass-Metal3
Metal,Metal,Plastic-Metal4
Glass,Metal,Plastic-Metal3
Wood,Metal,Glass-Metal1
Wood,Metal,Wood-Metal1
Glass,Metal,Wood-Metal3
Glass,Metal,Glass-Metal3
Metal,Metal,Metal-Metal4
Metal,Metal,Glass-Metal4
Plastic,Metal,Glass-Metal2
Metal,Metal,Wood-Metal4
Wood,Metal,Plastic-Metal1
Wood,Metal,Plastic-Metal1
Glass,Metal,Metal-Metal3
Glass,Metal,Wood-Metal3
Wood,Metal,Glass-Metal1
Plastic,Metal,Metal-Metal2
Wood,Metal,Wood-Metal1
Metal,Metal,Plastic-Metal4
